invocation,completion_tokens,prompt_tokens
1,692,5282
2,692,5984
3,722,6686
4,723,7418
5,767,8151
6,767,8928
7,767,9705
8,767,10482
9,767,11259
10,767,12036
11,237,13010
12,274,13257
13,274,13541
14,274,13825
15,274,14109
16,274,14393
17,274,14677
18,274,14961
19,274,15245
20,274,15529
21,223,15988
22,270,16221
23,270,16501
24,270,16781
25,270,17061
26,270,17341
27,270,17621
28,282,17901
29,274,18193
30,274,18477
31,241,18887
32,252,19138
33,255,19400
34,257,19665
35,257,19932
36,257,20199
37,257,20466
38,257,20733
39,257,21000
40,257,21267
41,257,21628
42,5,21895
43,315,21870
44,457,22459
45,525,22926
46,535,23461
47,544,24006
48,544,24560
49,544,25114
50,544,25668
51,544,26222
52,544,26776
53,544,27330
54,535,28099
55,540,28644
56,546,29194
57,546,29750
58,546,30306
59,546,30862
60,546,31418
61,546,31974
62,546,32530
63,546,33086
64,522,33809
65,529,34341
66,529,34880
67,529,35419
68,529,35958
69,529,36497
70,529,37036
71,529,37575
72,529,38114
73,529,38653
74,507,39307
75,5,39824
76,484,39799
